timestamp,price,quantity,side,level
34,97.7417,4,bid,2
34,97.2876,3,bid,3
34,97.2599,5,bid,4
34,97.2212,1,bid,5
34,100.095,3,ask,1
34,100.289,3,ask,2
34,100.408,1,ask,3
34,100.798,3,ask,4
34,100.8,1,ask,5
35,99.8245,1,bid,1
35,97.7417,4,bid,2
35,97.2876,3,bid,3
35,97.2599,5,bid,4
35,97.2212,1,bid,5
35,100.095,2,ask,1
35,100.289,3,ask,2
35,100.408,1,ask,3
35,100.798,3,ask,4
35,100.8,1,ask,5
36,97.7417,1,bid,1
36,97.2876,3,bid,2
36,97.2599,5,bid,3
36,97.2212,1,bid,4
36,97.2031,3,bid,5
36,100.095,2,ask,1
36,100.289,3,ask,2
36,100.408,1,ask,3
36,100.798,3,ask,4
36,100.8,1,ask,5
37,97.7417,1,bid,1
37,97.2876,3,bid,2
37,97.2599,5,bid,3
37,97.2212,1,bid,4
37,97.2031,3,bid,5
37,100.095,1,ask,1
37,100.289,3,ask,2
37,100.408,1,ask,3
37,100.798,3,ask,4
37,100.8,1,ask,5
38,97.7417,1,bid,1
38,97.2876,3,bid,2
38,97.2599,5,bid,3
38,97.2212,1,bid,4
38,97.2031,3,bid,5
38,100.095,1,ask,1
38,100.289,3,ask,2
38,100.408,1,ask,3
38,100.798,3,ask,4
38,100.8,1,ask,5
39,97.2876,2,bid,1
39,97.2599,5,bid,2
39,97.2212,1,bid,3
39,97.2031,3,bid,4
39,96.9898,1,bid,5
39,98.4603,2,ask,1
39,100.095,1,ask,2
39,100.289,3,ask,3
39,100.408,1,ask,4
39,100.798,3,ask,5
40,97.2876,2,bid,1
40,97.2599,5,bid,2
40,97.2212,1,bid,3
40,97.2031,3,bid,4
40,96.9898,1,bid,5
40,97.6939,2,ask,1
40,98.4603,2,ask,2
40,100.095,1,ask,3
40,100.289,3,ask,4
40,100.408,1,ask,5
41,97.2876,2,bid,1
41,97.2599,5,bid,2
41,97.2212,1,bid,3
41,97.2031,3,bid,4
41,96.9898,1,bid,5
41,100.095,1,ask,1
41,100.289,3,ask,2
41,100.408,1,ask,3
41,100.798,3,ask,4
41,100.8,1,ask,5
42,97.2599,4,bid,1
42,97.2212,1,bid,2
42,97.2031,3,bid,3
42,96.9898,1,bid,4
42,96.8633,4,bid,5
42,100.408,1,ask,1
42,100.798,3,ask,2
42,100.8,1,ask,3
42,101.078,2,ask,4
42,101.09,4,ask,5
43,97.2599,4,bid,1
43,97.2212,1,bid,2
43,97.2031,3,bid,3
43,96.9898,1,bid,4
43,96.8633,4,bid,5
43,100.408,1,ask,1
43,100.798,3,ask,2
43,100.8,1,ask,3
43,101.078,2,ask,4
43,101.09,4,ask,5
44,100.207,1,bid,1
44,97.9614,3,bid,2
44,97.2599,4,bid,3
44,97.2212,1,bid,4
44,97.2031,3,bid,5
44,100.8,1,ask,1
44,101.078,2,ask,2
44,101.09,4,ask,3
44,101.121,2,ask,4
44,101.378,4,ask,5
45,100.207,1,bid,1
45,97.9614,3,bid,2
45,97.2599,4,bid,3
45,97.2212,1,bid,4
45,97.2031,3,bid,5
45,100.8,1,ask,1
45,101.078,2,ask,2
45,101.09,4,ask,3
45,101.121,2,ask,4
45,101.378,4,ask,5
46,100.207,1,bid,1
46,97.9614,3,bid,2
46,97.2599,4,bid,3
46,97.2212,1,bid,4
46,97.2031,3,bid,5
46,100.8,1,ask,1
46,101.078,2,ask,2
46,101.09,4,ask,3
46,101.121,2,ask,4
46,101.378,4,ask,5
47,100.207,1,bid,1
47,97.9614,3,bid,2
47,97.2599,4,bid,3
47,97.2212,1,bid,4
47,97.2031,3,bid,5
47,101.09,4,ask,1
47,101.121,2,ask,2
47,101.378,4,ask,3
47,101.47,4,ask,4
47,101.638,1,ask,5
48,100.207,1,bid,1
48,97.9614,3,bid,2
48,97.2599,4,bid,3
48,97.2212,1,bid,4
48,97.2031,3,bid,5
48,100.737,2,ask,1
48,101.09,4,ask,2
48,101.121,2,ask,3
48,101.378,4,ask,4
48,101.47,4,ask,5
49,100.207,1,bid,1
49,97.9614,3,bid,2
49,97.2599,4,bid,3
49,97.2212,1,bid,4
49,97.2031,3,bid,5
49,101.09,1,ask,1
49,101.121,2,ask,2
49,101.378,4,ask,3
49,101.47,4,ask,4
49,101.638,1,ask,5
50,99.5242,3,bid,1
50,97.2031,2,bid,2
50,96.9898,1,bid,3
50,96.8633,4,bid,4
50,96.6983,1,bid,5
50,101.09,1,ask,1
50,101.121,2,ask,2
50,101.378,4,ask,3
50,101.47,4,ask,4
50,101.638,1,ask,5
51,99.5242,3,bid,1
51,97.2031,2,bid,2
51,96.9898,1,bid,3
