timestamp,price,quantity,makerTrader,takerTrader,buyerIsMaker
1235,98.5476,2,2,0,0
1235,98.5476,2,2,1,0
1235,98.5476,1,2,3,0
1236,98.8036,1,3,5,1
1237,98.8152,5,0,1,0
1238,98.4365,2,3,3,1
1239,99.129,3,0,0,0
1240,99.129,2,0,2,0
1241,99.4657,1,5,1,0
1242,98.4365,1,3,0,1
1242,99.4657,1,5,2,0
1242,99.6511,4,4,2,0
1242,98.4365,2,3,4,1
1242,98.2611,1,2,4,1
1242,98.2029,2,2,4,1
1244,99.8373,2,2,2,0
1245,99.8373,1,2,0,0
1246,100.193,1,1,1,0
1246,100.683,1,2,1,0
1248,101.804,2,3,4,0
1248,100.008,2,0,5,1
1251,99.0291,1,0,1,1
1251,101.804,1,3,5,0
1252,101.946,2,0,5,0
1252,102.022,1,5,5,0
1254,100.215,4,3,3,0
1255,100.427,1,3,3,1
1255,100.208,3,1,3,1
1259,100.52,2,4,3,1
1259,100.208,2,1,3,1
1260,100.099,1,3,0,0
1260,102.022,1,5,0,0
1260,99.6212,4,1,1,1
1260,98.9671,1,5,1,1
1260,98.9671,1,5,4,1
1262,98.3392,3,4,1,0
1262,99.0124,1,5,1,0
1263,98.2029,2,2,1,1
1263,98.165,2,3,1,1
1263,99.0124,2,5,4,0
1265,98.165,1,3,3,1
1265,98.054,2,3,3,1
1265,102.331,1,0,4,0
1265,102.416,2,1,4,0
1265,102.495,1,4,4,0
1265,102.553,1,2,4,0
1265,98.054,2,3,5,1
1265,98.0294,1,3,5,1
1267,101.37,2,3,4,1
1269,100.126,2,3,1,0
1269,102.56,2,4,1,0
1270,98.4398,3,1,0,1
1270,98.1342,1,0,0,1
1270,102.564,2,5,4,0
1273,99.9686,1,4,3,0
1273,102.491,1,3,4,1
1274,99.5089,2,1,4,1
1277,100.183,1,0,1,0
1277,102.564,1,5,1,0
1277,102.566,3,3,1,0
1279,99.5089,3,1,3,1
1279,98.7787,1,4,3,1
1281,99.3319,1,0,4,1
1285,100.42,2,1,5,1
1287,100.681,1,1,2,0
1287,101.175,2,5,2,0
1287,101.935,1,2,4,1
1287,98.7787,2,4,5,1
1287,98.1342,2,0,5,1
1288,97.7328,1,4,3,1
1289,100.064,1,4,2,0
1290,100.027,4,1,0,1
1290,97.7328,1,4,0,1
1290,100.064,2,4,1,0
1291,101.943,3,1,0,1
1291,101.008,1,4,0,1
1291,97.8717,1,3,0,1
1291,97.8717,1,3,1,1
1292,100.171,1,4,4,1
1296,101.763,2,2,2,1
1296,101.763,1,2,4,1
1297,100.467,1,1,2,1
1297,100.171,1,4,2,1
1299,100.171,1,4,4,1
1299,99.9455,3,2,4,1
1299,101.827,2,2,5,0
1299,102.281,3,5,5,0
1300,99.9455,1,2,0,1
1300,99.7082,1,5,2,1
1300,99.4285,2,0,2,1
1300,100.579,3,4,5,1
1300,99.4285,1,0,5,1
1301,99.4285,1,0,4,1
1301,99.0051,3,0,4,1
1303,97.8717,1,3,0,1
1305,99.2149,2,1,1,1
1306,99.2149,2,1,4,1
1306,98.1886,3,2,4,1
1306,100.487,1,1,5,0
1307,100.771,3,5,5,1
1309,98.4872,1,2,3,1
1310,101.621,3,4,5,0
1311,100.813,3,5,0,1
1311,101.621,2,4,2,0
1311,102.117,3,2,2,0
1313,100.813,1,5,1,1
1314,100.813,1,5,3,1
1315,102.117,2,2,4,0
1315,102.16,3,0,4,0
1317,102.16,2,0,1,0
1319,101.286,1,4,3,1
1321,101.936,1,4,1,0
1321,102.281,1,5,1,0
1321,102.47,2,2,1,0
1322,101.286,1,4,1,1
1324,101.869,1,3,0,1
1324,101.286,1,4,0,1
1324,100.442,1,4,0,1
1326,99.475,2,0,1,0
1326,102.258,1,4,1,0
1329,100.66,4,0,5,0
1331,101.438,1,5,0,1
